type_of_reference,authors,title,year,secondary_title,volume,number,start_page,end_page,doi,urls,author_address,abstract,keywords,publisher,issn,language,alternate_title1,type_of_work,name_of_database,notes,database,secondary_authors,custom7,custom2,short_title
CONF,"['Van Rozen, R.', 'Dormans, J.', 'Samaritaki, G.']",Debugging Procedural Level Designs with Mental Maps,2022,ACM International Conference Proceeding Series,,,,,10.1145/3555858.3564252,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142367969&doi=10.1145%2f3555858.3564252&partnerID=40&md5=167015b98fb1d8cf155a74b9d206353d'],"Centrum Wiskunde & Informatica, Netherlands","Procedural Level Generation provides tools and techniques for generating many game levels from a single specification. Instead of creating levels by hand, level designers make use of generators that automate the creation process. However, iteratively improving a level's design requires encoding generators of adventures, puzzles and encounters in notations that bear little resemblance to generated content. Raising the level quality is difficult, because it is hard to reason about bugs that can manifest inside generated content. We take the position that debugging requires special attention. We argue that advancing the area of PCG calls for tools and debugging techniques that speed up procedural level design and empower level designers. We propose exploring how Domain-Specific Languages can help in authoring a level's design, validating the generator's code, and debugging issues in generated content. We introduce Mental Maps, a visual language that expresses the spacial relations between rooms, objects and paths. We discuss how Mental Maps can serve as generator blueprints before the generation happens, and as debugging lenses for projecting issues afterwards.  © 2022 ACM.","['automated game design', 'debugging', 'domain-specific languages', 'level design', 'procedural content generation', 'Blueprints', 'Game design', 'Iterative methods', 'Problem oriented languages', 'Automated game design', 'Creation process', 'Debugging', 'Domains specific languages', 'Encodings', 'Game design', 'Level design', 'Mental maps', 'Procedural content generations', 'Tools and techniques', 'Visual languages']",Association for Computing Machinery,978-145039795-7 (ISBN),English,ACM Int. Conf. Proc. Ser.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Conference name: 17th International Conference on the Foundations of Digital Games, FDG 2022; Conference date: 5 September 2022 through 8 September 2022; Conference code: 184024']",SCOPUS,"['Karpouzis K.', 'Gualeni S.', 'Fowler A.']",73,,
CONF,"['Jiang, Z.', 'Earle, S.', 'Green, M.', 'Togelius, J.']",Learning Controllable 3D Level Generators,2022,ACM International Conference Proceeding Series,,,,,10.1145/3555858.3563273,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142344508&doi=10.1145%2f3555858.3563273&partnerID=40&md5=af943014bf05d163379aa60b61bce5ce'],"New York University, United States","Procedural Content Generation via Reinforcement Learning (PCGRL) foregoes the need for large human-authored data-sets and allows agents to train explicitly on functional constraints, using computable, user-defined measures of quality instead of target output. We explore the application of PCGRL to 3D domains, in which content-generation tasks naturally have greater complexity and potential pertinence to real-world applications. Here, we introduce several PCGRL tasks for the 3D domain, Minecraft. These tasks will challenge RL-based generators using affordances often found in 3D environments, such as jumping, multiple dimensional movement, and gravity. We train agents to optimize each of these tasks to explore the capabilities of existing in PCGRL. The agents are able to generate relatively complex and diverse levels, and generalize to random initial states and control targets. Controllability tests in the presented tasks demonstrate their utility to analyze success and failure for 3D generators. We argue that these generators could serve both as co-creative tools for game designers, and as pre-trained environment generators in curriculum learning for player agents.  © 2022 ACM.","['Computer games', '3-D environments', 'Affordances', 'Control target', 'Data set', 'Functional constraints', 'Initial state', 'Learning tasks', 'Procedural content generations', 'Real-world', 'Reinforcement learnings', 'Reinforcement learning']",Association for Computing Machinery,978-145039795-7 (ISBN),English,ACM Int. Conf. Proc. Ser.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 13; Conference name: 17th International Conference on the Foundations of Digital Games, FDG 2022; Conference date: 5 September 2022 through 8 September 2022; Conference code: 184024']",SCOPUS,"['Karpouzis K.', 'Gualeni S.', 'Fowler A.']",71,,
CONF,"['Merino, T.', 'Charity, M.', 'Togelius, J.']",Interactive Latent Variable Evolution for the Generation of Minecraft Structures,2023,ACM International Conference Proceeding Series,,,,,10.1145/3582437.3587208,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153565986&doi=10.1145%2f3582437.3587208&partnerID=40&md5=ba7c528b72cb2417ad98c80608a9e054'],"New York University Tandon, Brooklyn, NY, United States","The open-world sandbox game Minecraft is well-known for applying a wide array of procedural content generation techniques to create unique and expansive game environments. However, procedurally generated buildings are absent in the Minecraft world, thus players must build their own structures to flesh out their worlds. This build process can be extremely time-consuming and appeals to more creatively-inclined players. To aid players in this process, we introduce a tool combining interactive evolution with latent variable evolution to evolve procedurally generated Minecraft structures to a player's aesthetic choices. We employ two separate neural network models to generate structures: a 3D generative model for generating the structure design and an encoding model for applying Minecraft textures to the structure's voxels. We evaluate this tool with a user study incorporating an online interface that allows participants to select, evolve, and guide a population of these generated 3D structures towards a specific design goal.  © 2023 ACM.","['3D modeling', 'Neural network models', 'Encoding models', 'Game environment', 'Generation techniques', 'Generative model', 'Interactive evolution', 'Latent variable', 'Neural network model', 'Open world', 'Procedural content generations', 'Structure design', 'Textures']",Association for Computing Machinery,978-145039856-5 (ISBN),English,ACM Int. Conf. Proc. Ser.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Conference name: 18th International Conference on the Foundations of Digital Games, FDG 2023; Conference date: 11 April 2023 through 14 April 2023; Conference code: 187845']",SCOPUS,"['Lopes P.', 'Luz F.', 'Liapis A.', 'Engstrom H.']",67,,
CONF,"['Midoglu, C.', 'Sabet, S.S.', 'Sarkhoosh, M.H.', 'Majidi, M.', 'Gautam, S.', 'Solberg, H.M.', 'Kupka, T.', 'Halvorsen, P.']",AI-Based Sports Highlight Generation for Social Media,2024,MHV 2024 - Proceedings of the 3rd Mile-High Video Conference,,,7,13,10.1145/3638036.3640799,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188727177&doi=10.1145%2f3638036.3640799&partnerID=40&md5=4813dbc65a5cdb74579fc995d7774c4f'],"SimulaMet, Forzasys, Norway","Social media plays a significant role for sports organizations with millions of active fans, but publishing highlights is often a tedious manual operation. With the development of AI, new tools are available for content generation and personalization to engage audiences. We propose an AI-based multimedia production framework for the automatic publishing of soccer and ice hockey highlights on social media, and disseminate our experiences with developing dedicated pipelines for event detection and classification, player detection and tracking, highlight clipping, cropping, thumbnail generation, game summarization, caption generation, and social media sharing. © 2024 Owner/Author.","['AI', 'caption', 'clipping', 'cropping', 'detection', 'football', 'hockey', 'multimedia production', 'social media', 'summarization', 'thumbnail', 'tracking', 'Social networking (online)', 'Caption', 'Clipping', 'Cropping', 'Detection', 'Hockey', 'Multimedia productions', 'Social media', 'Summarization', 'Thumbnail', 'Tracking', 'Sports']","Association for Computing Machinery, Inc",979-840070493-2 (ISBN),English,MHV - Proc. Mile-High Video Conf.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 7; Conference name: 3rd Mile-High Video Conference, MHV 2024; Conference date: 11 February 2024 through 14 February 2024; Conference code: 198137']",SCOPUS,,,,
CONF,"['Singh, J.', 'Islam, S.M.N.', 'Tewatia, M.', 'Garg, D.', 'Fatima, N.']",Systematic Review of GAN for Enhancing Efficiency in AI in Gaming,2024,"2024 International Conference on Advances in Computing Research on Science Engineering and Technology, ACROSET 2024",,,,,10.1109/ACROSET62108.2024.10743943,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211487660&doi=10.1109%2fACROSET62108.2024.10743943&partnerID=40&md5=3bd60803411a0f4a3e1d7ae5bc118096'],"School of Computer Applications, Manav Rachna International Institute of Research and Studies, Faridabad, India","A thorough analysis of Generative Adversarial Networks (GANs) and how they might be used to improve AI gaming efficiency is presented in this research. Game developers now have never-before-seen possibilities for innovation, immersion, and personalization thanks to GANs, which have become a potent tool for producing realistic data samples across a variety of fields. This review investigates the architecture, training methods, applications, difficulties, and potential future directions of GANs in AI gaming through a thorough analysis of the body of research and publications. The review demonstrates how GANs can transform the game industry by highlighting their many uses in procedural content generation, texture synthesis, character animation, environment design, and content customization. Nevertheless, there are certain difficulties in integrating GANs into AI games, such as computational resources, mode collapse, training instability, and assessment metrics.as well as legal matters. To tackle these obstacles, multidisciplinary research endeavors and cooperation across academic institutions, corporate entities, and regulatory agencies are necessary. Going forward, new avenues for study and developments in GAN technology hold great potential for getting over these roadblocks and opening up fresh possibilities in AI gaming. We can create a future where AI powered gaming experiences change the parameters of interactive entertainment and provide players globally with more engaging, varied, and personalized gaming experiences by utilizing the possibilities of GANs and addressing the related obstacles. © 2024 IEEE.","['Artificial Intelligence (AI)', 'Efficiency', 'Enhancement', 'Gaming', 'Generative Adversarial Networks (GANs)', 'Machine Learning', 'Video Games', 'Adversarial machine learning', 'Engineering education', 'Game design', 'Interactive computer graphics', 'Laws and legislation', 'Adversarial networks', 'Artificial intelligence', 'Enhancement', 'Gaming', 'Gaming experiences', 'Generative adversarial network', 'Machine-learning', 'Personalizations', 'Systematic Review', 'Video-games', 'Generative adversarial networks']",Institute of Electrical and Electronics Engineers Inc.,979-835038880-0 (ISBN),English,"Int. Conf. Adv. Comput. Res. Sci. Eng. Technol., ACROSET",Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Conference name: 2024 International Conference on Advances in Computing Research on Science Engineering and Technology, ACROSET 2024; Conference date: 27 September 2024 through 28 September 2024; Conference code: 204132']",SCOPUS,,,,
JOUR,"['Minoofam, S.A.H.', 'Bastanfard, A.', 'Keyvanpour, M.R.']",RALF: an adaptive reinforcement learning framework for teaching dyslexic students,2022,Multimedia Tools and Applications,81,5,6389,6412,10.1007/s11042-021-11806-y,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122871891&doi=10.1007%2fs11042-021-11806-y&partnerID=40&md5=e78da07146877dc7336fd8e96837917f'],"Department of Computer Engineering, Karaj Branch, Islamic Azad University, Karaj, Iran","Dyslexia is a learning disorder in which individuals have significant reading difficulties. Previous studies found that using machine learning techniques in content supplements is vital in adapting the course concepts to the learners' educational level. However, to the best of our knowledge, no research objectively applied machine learning methods to adaptive content generation. This study introduces an adaptive reinforcement learning framework known as RALF through Cellular Learning Automata (CLA) to generate content automatically for students with dyslexia. At first, RALF generates online alphabet models as a simplified font. CLA structure learns each rule of character generation through the reinforcement learning cycle asynchronously. Second, Persian words are generated algorithmically. This process also considers each character's state to decide the alphabet cursiveness and the cells' response to the environment. Finally, RALF can generate long texts and sentences using the embedded word-formation algorithm. The spaces between words are proceeds through the CLA neighboring states. Besides, RALF provides word pronunciation and several exams and games to improve the learning performance of people with dyslexia. The proposed reinforcement learning tool enhances students' learning rate with dyslexia by almost 27% compared to the face-to-face approach. The findings of this research show the applicability of this approach in dyslexia treatment during Lockdown of COVID-19. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","['Educational multimedia', 'Integrated communication', 'Intelligent tutoring system', 'Orthographic knowledge', 'Pandemic crisis', 'Computer aided instruction', 'Curricula', 'Education computing', 'Learning algorithms', 'Reinforcement learning', 'Cellular learning automata', 'Educational levels', 'Educational multimedium', 'Integrated communication', 'Intelligent tutoring', 'Intelligent tutoring system', 'Machine learning techniques', 'Orthographic knowledge', 'Pandemic crisis', 'Tutoring system', 'Students']",Springer,13807501 (ISSN),English,Multimedia Tools Appl,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 27; Correspondence Address: A. Bastanfard; Department of Computer Engineering, Karaj Branch, Islamic Azad University, Karaj, Iran; email: bastanfard@kiau.ac.ir; CODEN: MTAPF']",SCOPUS,,,,
JOUR,"['Pejic, J.', 'Pejic, P.']",Linear kitchen layout design via machine learning,2022,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",36,,,,10.1017/S089006042100038X,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124803086&doi=10.1017%2fS089006042100038X&partnerID=40&md5=3d9e1d03cac23ad55506631a4fb9727b'],"Computer Science Department, Faculty of Sciences and Mathematics, University of Nis, Nis, Serbia","The main objective of this paper is to develop a novel approach for linear kitchen layout design which utilizes information from existing layouts via machine learning algorithms. With the growing popularity of large-scale virtual 3D environments for architectural visualization and the game industry, the manual interior design of virtual scenes becomes prohibitively expensive in terms of time and resources. In our approach, the machine learning model automatically generates layout suggestions. The proposed procedural kitchen generation (PKG) model is a pipeline of six Machine Learning (ML) classifiers that are trained and tested on a kitchen layout dataset created by interior designers. The performances of the model are evaluated for the following classifiers: Random forest, Decision tree, AdaBoost, Naive Bayes, MLP, SVM, and L2 Logistic regression. Random forest, as the best performing classifier is used in the final PKG model, and integrated into Unity Engine for automatic 3D kitchen generation and presentation. The PKG model is evaluated in the quantitative and perceptual study, showing better performance than the prior rule-based method. The perceptual study results demonstrate that our tool can be used to speed up designer's work, improve communication with clients, and educate interior design students.  Copyright © The Author(s), 2022.","['Data-driven model', 'Data-enabled approach', 'Interior design', 'Kitchen layout design', 'Machine learning', 'Procedural content generation', 'Random forest', 'Adaptive boosting', 'Classification (of information)', 'Decision trees', 'Support vector machines', 'Three dimensional computer graphics', 'Data-driven model', 'Data-enabled approach', 'Interior designs', 'Kitchen layout design', 'Large-scales', 'Layout designs', 'Machine learning algorithms', 'Performance', 'Procedural content generations', 'Random forests', 'Architectural design']",Cambridge University Press,08900604 (ISSN),English,Artif Intell Eng Des Anal Manuf,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 8; Correspondence Address: P. Pejic; Game Development Department, Faculty of Information Technology, Belgrade Metropolitan University, Belgrade, Serbia; email: petar.pejic@metropolitan.ac.rs; CODEN: AIEME']",SCOPUS,,e9,,
JOUR,"['Maiden, N.', 'Lockerbie, J.', 'Zachos, K.', 'Wolf, A.', 'Brown, A.']",Designing new digital tools to augment human creative thinking at work: An application in elite sports coaching,2023,Expert Systems,40,3,,,10.1111/exsy.13194,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143423194&doi=10.1111%2fexsy.13194&partnerID=40&md5=71fd662b84ae2e594c4d903277e23c0f'],"Bayes Business School, City, University of London, London, United Kingdom","Creative thinking is desirable in many professions. This article reports new research that followed a design science approach to develop and investigate a co-creative tool called Sport Sparks in one profession – the coaching of professional football players. In response to a coach entering a text description of a coaching challenge (e.g., struggling to maintain the fitness of an athlete) into the tool, the tool automatically generated potentially novel ideas (e.g., reducing game time and changing their nutrition) that the coach could select and/or adapt and evolve into a simple action plan (e.g., which links nutrition to increased game time). This Sport Sparks tool was designed to be an example of human-centred artificial intelligence that aspires to empower humans, to deliver high levels of human control as well as automation, and empower people rather than emulate their expertise. It was engineered with rule-based reasoning to automate the generation of potential new ideas that coaches could select and refine during interactions which provide high user control over this automation. The potential of such a co-creative tool, and value of the guidelines, were demonstrated during the tool's evaluation by coaching practitioners at a Premier League football club. The practitioners used the tool to generate new ideas to coaching challenges, and reported evidence of different forms of creative thinking, although some also reported the need for more support for creative collaborations and solution planning. The paper ends by discussing future directions for both the Sport Sparks tool and other co-creative AI tools. © 2022 The Authors. Expert Systems published by John Wiley & Sons Ltd.","['co-creative AI tools', 'creativity', 'design guidelines', 'elite coaching', 'human-centred AI', 'sports', 'Digital devices', 'Expert systems', 'Nutrition', 'Sports', 'Co-creative AI tool', 'Creative thinking', 'Creative tools', 'Creatives', 'Creativity', 'Design guideline', 'Digital tools', 'Elite coaching', 'Human-centered AI', 'Sport coaching', 'Design']",John Wiley and Sons Inc,02664720 (ISSN),English,Expert Syst,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 11; Correspondence Address: N. Maiden; Bayes Business School, City, University of London, London, United Kingdom; email: n.a.m.maiden@city.ac.uk; CODEN: EXSYE']",SCOPUS,,e13194,,
CONF,"['Ngaw, B.', 'Jena, G.', 'Sedoc, J.', 'Normoyle, A.']",Towards Authoring Open-Ended Behaviors for Narrative Puzzle Games with Large Language Model Support,2024,ACM International Conference Proceeding Series,,,,,10.1145/3649921.3656975,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199112095&doi=10.1145%2f3649921.3656975&partnerID=40&md5=3bc95ef6eb02315389ae7c136e429df7'],"New York University, New York, NY, United States","Designing games with branching story lines, object annotations, scene details, and dialog can be challenging due to the intensive authoring required. We investigate the potential for authoring open-ended behaviors for point-and-click narrative games using GPT-3.5, a large language model. In our approach, we extend a behavior tree scripting system with nodes that query GPT-3.5 to generate object descriptions, conversations with characters, and responses to player actions. GPT-3.5 is used to generate content when it hasn't been scripted manually and to update game state by asking questions about whether a player's input achieves a particular game goal. We demonstrate our approach with puzzles based on scenes from an episode of Star Trek Voyager. Our approach aims to blend a specific plot with open-ended story elements while keeping the authoring work minimal. Based on a pilot study of 16 participants and our own testing, we find that the generated responses have high coherency and show signs of humor and novelty, but that utterances could be improved to be more interesting and better support the designer's intent. © 2024 ACM.","['Behavior Trees', 'Game Authoring Tools', 'Game Design', 'Large Language Models', 'Procedural Narrative Generation', 'Computational linguistics', 'Computer games', 'Behaviour Trees', 'Game authoring tool', 'Game design', 'Language model', 'Large language model', 'Object description', 'Player action', 'Procedural narrative generation', 'Puzzle games', 'Star treks', 'Game design']",Association for Computing Machinery,979-840070955-5 (ISBN),English,ACM Int. Conf. Proc. Ser.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 1; Conference name: 19th International Conference on the Foundations of Digital Games, FDG 2024; Conference date: 21 May 2024 through 24 May 2024; Conference code: 200964']",SCOPUS,"['Smith G.', 'Whitehead J.', 'Samuel B.', 'Spiel K.', 'van Rozen R.']",43,,
JOUR,"['John, J.S.', 'John, K.S.']",A Process-Focused Experiential Approach to IT Education Using Peer Learning,2024,Journal of Information Systems Education,35,2,148,159,10.62273/ORES9068,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197425187&doi=10.62273%2fORES9068&partnerID=40&md5=e8ee3b9853fe165b7576c1e8d3b23efc'],"Norris-Vincent College of Business Angelo State University, San Angelo, 76909, TX, United States","This study provides an overview of efforts to improve experiential learning outcomes by integrating the curriculum of an upper-level Project Management (PM) course with an Introductory Programming (IP) course using a game-making project. Students in the PM course applied PM methods and techniques while supervising teams of students in the IP course in making a gaming app. Paradoxically, it was found that transitioning from complex, real-world client projects to more structured and guided student projects increased realism and enhanced experiential learning. Positive results were not automatically derived by employing experiential learning tools. More important was a focus on the process through which student experiences resulted in knowledge acquisition and creation. The findings of this study encourage educators to pay special attention to the implementation and integration of learning tools to create synergy in the learning process. © (2024), (ISCAP- Information Systems and Computing Academic Professionals). All rights reserved.","['Experiential learning & education', 'Game-based learning', 'Introductory programming', 'Peer learning', 'Project management', 'Curricula', 'Information systems', 'Information use', 'Learning systems', 'Students', 'Experiential educations', 'Experiential learning', 'Game-based Learning', 'Introductory programming', 'Introductory programming course', 'IT-education', 'Learning outcome', 'Learning tool', 'Management course', 'Peer learning', 'Project management']",ISCAP- Information Systems and Computing Academic Professionals,10553096 (ISSN),English,J. Inf. Syst. Educ.,Article,Scopus,['Export Date: 06 January 2025; Cited By: 0'],SCOPUS,,,,
CONF,"['Gautam, S.', 'Midoglu, C.', 'Shafiee Sabet, S.', 'Kshatri, D.B.', 'Halvorsen, P.']","Soccer Game Summarization using Audio Commentary, Metadata, and Captions",2022,NarSUM 2022 - Proceedings of the 1st Workshop on User-Centric Narrative Summarization of Long Videos,,,13,22,10.1145/3552463.3557019,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141088146&doi=10.1145%2f3552463.3557019&partnerID=40&md5=1d1bbb595c00fa9610e0f01acb4d5ff3'],"Tribhuvan University, Kathmandu, Nepal","Soccer is one of the most popular sports globally, and the amount of soccer-related content worldwide, including video footage, audio commentary, team/player statistics, scores, and rankings, is enormous and rapidly growing. Consequently, the generation of multimodal summaries is of tremendous interest for broadcasters and fans alike, as a large percentage of audiences prefer to follow only the main highlights of a game. However, annotating important events and producing summaries often requires expensive equipment and a lot of tedious, cumbersome, manual labour. In this context, recent developments in Artificial Intelligence (AI) have shown great potential. The goal of this work is to create an automated soccer game summarization pipeline using AI. In particular, our focus is on the generation of complete game summaries in continuous text format with length constraints, based on raw game multimedia, as well as readily available game metadata and captions where applicable, using Natural Language Processing (NLP) tools along with heuristics. We curate and extend a number of soccer datasets, implement an end-to-end pipeline for the automatic generation of text summaries, present our preliminary results from the comparative analysis of various summarization methods within this pipeline using different input modalities, and provide a discussion of open challenges in the field of automated game summarization.  © 2022 Owner/Author.","['ai', 'automated pipeline', 'football', 'nlp', 'soccer game summary', 'Automation', 'Metadata', 'Natural language processing systems', 'Sports', 'Ai', 'Automated pipeline', 'Expensive equipments', 'Multi-modal', 'Nlp', 'Related content', 'Soccer game summary', 'Soccer games', 'Team players', 'Video footage', 'Pipelines']","Association for Computing Machinery, Inc",978-145039493-2 (ISBN),English,NarSUM - Proc. Workshop User-Cent. Narrat. Summ. Long Videos,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 12; Conference name: 1st Workshop on User-Centric Narrative Summarization of Long Videos, NarSUM 2022, held in conjunction with the 30th ACM International Conference on Multimedia, MM 2022; Conference code: 183240']",SCOPUS,,,,
CONF,"['Awiszus, M.', 'Schubert, F.', 'Rosenhahn, B.']",TOAD-GAN: Coherent style level generation from a single example,2020,"Proceedings of the 16th AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment, AIIDE 2020",,,10,16,10.1609/aiide.v16i1.7401,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092352540&doi=10.1609%2faiide.v16i1.7401&partnerID=40&md5=0f13e81e5ead17d82a2612d113ca0a0c'],"Institut für Informationsverarbeitung, Leibniz University, Hanover, Germany","In this work, we present TOAD-GAN (Token-based One-shot Arbitrary Dimension Generative Adversarial Network), a novel Procedural Content Generation (PCG) algorithm that generates token-based video game levels. TOAD-GAN follows the SinGAN architecture and can be trained using only one example. We demonstrate its application for Super Mario Bros. levels and are able to generate new levels of similar style in arbitrary sizes. We achieve state-of-the-art results in modeling the patterns of the training level and provide a comparison with different baselines under several metrics. Additionally, we present an extension of the method that allows the user to control the generation process of certain token structures to ensure a coherent global level layout. We provide this tool to the community to spur further research by publishing our source code. Copyright © 2020, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","['Arbitrary dimension', 'Generation algorithm', 'Generation process', 'ITS applications', 'Procedural content generations', 'Source codes', 'State of the art', 'Super Mario Bros', 'Video game levels', 'Generative adversarial networks']",AAAI Press,978-157735849-7 (ISBN),English,"Proc. AAAI Conf. Artif. Intell. Interact. Digit. Entertain., AIIDE",Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 25; Conference name: 16th AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment, AIIDE 2020; Conference date: 19 October 2020 through 23 October 2020; Conference code: 167411']",SCOPUS,"['Lelis L.', 'Thue D.']",,,
CONF,"['Withington, O.', 'Tokarchuk, L.']",Compressing and Comparing the Generative Spaces of Procedural Content Generators,2022,"IEEE Conference on Computatonal Intelligence and Games, CIG",2022-August,,143,150,10.1109/CoG51982.2022.9893615,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139136737&doi=10.1109%2fCoG51982.2022.9893615&partnerID=40&md5=011406e5f156bd1ec8a29b18d2ac1621'],"Queen Mary University of London, London, United Kingdom","The past decade has seen a rapid increase in the level of research interest in procedural content generation (PCG) for digital games, and there are now numerous research avenues focused on new approaches for driving and applying PCG systems. An area in which progress has been comparatively slow is the development of generalisable approaches for comparing alternative PCG systems, especially in terms of their generative spaces. It is to this area that this paper aims to make a contribution, by exploring the utility of data compression algorithms in compressing the generative spaces of PCG systems. We hope that this approach could be the basis for developing useful qualitative tools for comparing PCG systems to help designers better understand and optimize their generators. In this work we assess the efficacy of a selection of algorithms across sets of levels for 2D tile-based games by investigating how much their respective generative space compressions correlate with level behavioral characteristics. We conclude that the approach looks to be a promising one despite some inconsistency in efficacy in alternative domains, and that of the algorithms tested Multiple Correspondence Analysis appears to perform the most effectively.  © 2022 IEEE.","['Behavioral characteristics', 'Data compression algorithms', 'Digital games', 'Generation systems', 'Multiple correspondence analysis', 'New approaches', 'Procedural content generations', 'Research interests', 'Space compression']",IEEE Computer Society,23254270 (ISSN); 978-166545989-1 (ISBN),English,"IEEE Conf. Comput. Intell. Games, CIG",Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 3; Conference name: 2022 IEEE Conference on Games, CoG 2022; Conference date: 21 August 2022 through 24 August 2022; Conference code: 182931']",SCOPUS,,,,
CONF,"['Cannavò, A.', ""D'Alessandro, A."", 'Maglione, D.', 'Marullo, G.', 'Zhang, C.', 'Lamberti, F.']",Automatic generation of affective 3D virtual environments from 2D images,2020,"VISIGRAPP 2020 - Proceedings of the 15th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",1,,113,124,,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083563262&partnerID=40&md5=1fab24b343af37d1ecdcfe3819cab4f1'],"Dipartimento di Automatica e Informatica, Politecnico di Torino, Corso Duca degliAbruzzi 24, Torino, Italy","Today, a wide range of domains encompassing, e.g., movie and video game production, virtual reality simulations, augmented reality applications, make a massive use of 3D computer generated assets. Although many graphics suites already offer a large set of tools and functionalities to manage the creation of such contents, they are usually characterized by a steep learning curve. This aspect could make it difficult for non-expert users to create 3D scenes for, e.g., sharing their ideas or for prototyping purposes. This paper presents a computer-based system that is able to generate a possible reconstruction of a 3D scene depicted in a 2D image, by inferring objects, materials, textures, lights, and camera required for rendering. The integration of the proposed system into a well-known graphics suite enables further refinements of the generated scene using traditional techniques. Moreover, the system allows the users to explore the scene into an immersive virtual environment for better understanding the current objects' layout, and provides the possibility to convey emotions through specific aspects of the generated scene. The paper also reports the results of a user study that was carried out to evaluate the usability of the proposed system from different perspectives. Copyright © 2020 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.","['Human-computer interaction', 'Image-based modeling', 'Scene and object modeling', 'Virtual reality', 'Augmented reality', 'Computer games', 'Computer vision', 'Textures', 'Virtual reality', '3-D virtual environment', 'Augmented reality applications', 'Automatic Generation', 'Computer-based system', 'Immersive virtual environments', 'Steep learning curve', 'Traditional techniques', 'Virtual reality simulations', 'Three dimensional computer graphics']",SciTePress,978-989758402-2 (ISBN),English,"VISIGRAPP - Proc. Int. Jt. Conf. Comput. Vis., Imaging Comput. Graph. Theory Appl.",Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 7; Conference name: 15th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications, VISIGRAPP 2020; Conference date: 27 February 2020 through 29 February 2020; Conference code: 158743']",SCOPUS,"['Bouatouch K.', 'Sousa A.A.', 'Braz J.']",,,
