type_of_reference,authors,title,secondary_title,language,keywords,abstract,author_address,custom3,unknown_tag,issn,date,year,volume,number,start_page,end_page,doi,accession_number,notes,database,custom7,custom6,first_authors
JOUR,"['Pejic, J', 'Pejic, P']",Linear kitchen layout design via machine learning,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,English,"['Data-driven model', 'data-enabled approach', 'interior design', 'kitchen layout design', 'machine learning', 'procedural content generation', 'random forest']","The main objective of this paper is to develop a novel approach for linear kitchen layout design which utilizes information from existing layouts via machine learning algorithms. With the growing popularity of large-scale virtual 3D environments for architectural visualization and the game industry, the manual interior design of virtual scenes becomes prohibitively expensive in terms of time and resources. In our approach, the machine learning model automatically generates layout suggestions. The proposed procedural kitchen generation (PKG) model is a pipeline of six Machine Learning (ML) classifiers that are trained and tested on a kitchen layout dataset created by interior designers. The performances of the model are evaluated for the following classifiers: Random forest, Decision tree, AdaBoost, Naive Bayes, MLP, SVM, and L2 Logistic regression. Random forest, as the best performing classifier is used in the final PKG model, and integrated into Unity Engine for automatic 3D kitchen generation and presentation. The PKG model is evaluated in the quantitative and perceptual study, showing better performance than the prior rule-based method. The perceptual study results demonstrate that our tool can be used to speed up designer's work, improve communication with clients, and educate interior design students.","Univ Nis, Fac Sci & Math, Comp Sci Dept, Nish, Serbia",University of Nis,"defaultdict(<class 'list'>, {'PU': ['CAMBRIDGE UNIV PRESS'], 'PI': ['NEW YORK'], 'PA': ['32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA'], 'J9': ['AI EDAM'], 'JI': ['AI EDAM-Artif. Intell. Eng. Des. Anal. Manuf.'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",0890-0604,FEB 9,2022,36,,,,10.1017/S089006042100038X,WOS:000752888500001,"['Times Cited in Web of Science Core Collection:  7', 'Total Times Cited:  7', 'Cited Reference Count:  39']",WOS,e9,,
JOUR,"['Yang, XY', 'Delparte, D']","A Procedural Modeling Approach for Ecosystem Services and Geodesign Visualization in Old Town Pocatello, Idaho",LAND,English,"['geodesign', 'procedural 3D modeling', 'ecosystem services', 'urban design', 'impervious surfaces', 'GIS', 'visualization', 'URBAN DESIGN', 'SUSTAINABILITY', 'TOOLS']","City population has been growing rapidly worldwide due to urban expansion, which can bring negative impacts on local ecosystem services (ES). Efficient tools for urban design and visualization are essential for city planners and stakeholders to better understand the valuation impact of plans for future sustainable development. Current urban design methods are mainly based on a 2D perspective and lack vertical visualization. Although conventional 3D modeling was introduced to address these limitations, it still has some challenges, such as requiring powerful computing resources and specialized training. Procedural 3D modeling is a grammar-based set of rules that can effectively generate 3D models and enhance spatial visualization when compared with conventional 2D or 3D methods. This paper describes a framework for developing a geodesign tool in Old Town Pocatello, Idaho, USA using procedural modeling to improve planning and visualization for urban design, including (1) Geospatial data preparation in ArcGIS, (2) 3D cityscape model generation in CityEngine, and (3) interactive visualization applications for multiple platforms developed with the Unity game engine. Pocatello is a mid-sized city in southeast Idaho that faces several challenges towards integrating ecosystem services in urban design. As a case study in ecosystem service modelling, we proposed a green scenario for Old Town to demonstrate a tool where permeable surfaces were increased from 37% to 45% to help mitigate urban land surface temperature and improve stormwater management. This geodesign tool offers city planners and stakeholders an opportunity to visualize and analyze block-level scenarios in real time. The interactive applications can encourage public participation in the design process. More ES measurements can be implemented into this tool in the future. The techniques of 3D procedural modeling and ES modeling in this study are also applicable to other small to mid-sized cities worldwide.","Idaho State Univ, Dept Geosci, Pocatello, ID 83209 USA",Idaho State University,"defaultdict(<class 'list'>, {'FU': [""Idaho EPSCoR's Managing Idaho's Landscapes for Ecosystem Services (MILES) program (National Science Foundation) [IIa-1301792]; Center for Advanced Energy Studies (CAES)""], 'FX': [""This study was funded by Idaho EPSCoR's Managing Idaho's Landscapes for Ecosystem Services (MILES) program (National Science Foundation award number IIa-1301792) and by Center for Advanced Energy Studies (CAES).""], 'PU': ['MDPI'], 'PI': ['BASEL'], 'PA': ['ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND'], 'J9': ['LAND-BASEL'], 'JI': ['Land'], 'WE': ['Social Science Citation Index (SSCI)']})",2073-445X,AUG,2022,11,8,,,10.3390/land11081228,WOS:000846518200001,"['Times Cited in Web of Science Core Collection:  2', 'Total Times Cited:  3', 'Cited Reference Count:  52']",WOS,1228,,
JOUR,"['Marín-Vega, H', 'Alor-Hernández, G', 'Colombo-Mendoza, LO', 'Bustos-López, M', 'Zataraín-Cabada, R']",ZeusAR: a process and an architecture to automate the development of augmented reality serious games,MULTIMEDIA TOOLS AND APPLICATIONS,English,"['Augmented reality serious game', 'Software process', 'EDUCATION', 'TOOL', 'CHALLENGES', 'FRAMEWORK', 'DESIGN']","A software development process comprises all the steps necessary to produce a software product. This research proposes a new process for developing augmented reality serious games (ARSGs), which comprises three phases: analysis, configuration, and generation. The analysis phase involves examining the standard project structure of a typical serious game to identify the applicable actions to which AR content can be added. The configuration phase involves configuring the AR features and the AR library to be integrated into the game structure. Finally, the generation phase entails inserting the AR code in the game structure, as well as all the files necessary to in-corporate AR features in the game. Our process allows generating ARSGs step by step, both easily and rapidly. To implement this process, we propose an ARSG development software architecture. The underlying assumption of this architecture is that software development tools are essential validation elements of the software generation process. By implementing our ARSG development process through a software architecture, we provide users with a formal, automated method for creating ARSGs. The ARSG development process and the architecture, collectively called ZeusAR, are not dependent on specific software development technologies and/or programming languages. To perform a proof-of-concept of our process, we developed an ARSG generator tool based on the proposed architecture and conducted a case study in which geometry ARSGs are developed to help high school students learn about geometric shapes and their properties. We conducted a qualitative evaluation of the ZeusAR tool through a System-Usability-Scale (SUS) based survey, which was administered to a group of geometry teachers to evaluate the tool's characteristics, such as ease of use and ease of configuration. Additionally, a group of software developers and professors assessed the performance of the ZeusAR tool in terms of game development time.","Tecnol Nacl Mexico, ITS Zongolica, Zongolica, Mexico",Universidad Veracruzana,"defaultdict(<class 'list'>, {'PU': ['SPRINGER'], 'PI': ['DORDRECHT'], 'PA': ['VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS'], 'J9': ['MULTIMED TOOLS APPL'], 'JI': ['Multimed. Tools Appl.'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)', 'Social Science Citation Index (SSCI)']})",1380-7501,JAN,2022,81,2,2901,2935,10.1007/s11042-021-11695-1,WOS:000716240000002,"['Times Cited in Web of Science Core Collection:  6', 'Total Times Cited:  6', 'Cited Reference Count:  50']",WOS,,NOV 2021,
JOUR,"['Symeonidis, S', 'Meditskos, G', 'Vrochidis, S', 'Avgerinakis, K', 'Derdaele, J', 'Vergauwen, M', 'Bassier, M', 'Moghnieh, A', 'Fraguada, L', 'Vogler, V', 'Shekhawat, Y', 'Wanner, L', 'Marimon, M', 'Valsamidou, K', 'Koulali, P', 'Tellios, A', 'Wuyts, J', 'Lopez, E']",V4Design: Intelligent Analysis and Integration of Multimedia Content for Creative Industries,IEEE SYSTEMS JOURNAL,English,"['Architecture', 'creative industries', 'game design', 'multimedia analysis', 'virtual reality (VR)']","Nowadays, vast amounts of multimedia content are being produced, archived, and digitized, resulting in great troves of data of interest. Examples include user-generated content, such as images, videos, text, and audio posted by users on social media and wikis, or content provided through official publishers and distributors, such as digital libraries, organizations, and online museums. This digital content can serve as a valuable source of inspiration to the creative industries, such as architecture and gaming, to produce new innovative assets or to enhance and (re-)use existing ones. However, in its current form, this content is difficult to be reused and repurposed due to the lack of appropriate solutions for its retrieval, analysis, and integration into the design process. In this article, we present V4Design, a novel framework for the automatic content analysis, linking, and seamless transformation of heterogeneous multimedia content to help architects and virtual reality game designers establish innovative value chains and end-user applications. By integrating and intelligently combining state-of-the-art technologies in computer vision, 3-D generation, text analysis, generation and semantic integration, and interlinking, V4Design provides architects and video game designers with innovative tools to draw inspiration from archive footage and documentaries, inspiring and eventually supporting the design process.","Informat Technol Inst, CERTH, Thessaloniki 57001, Greece",Centre for Research & Technology Hellas,"defaultdict(<class 'list'>, {'FU': ['EC [H2020-779962]'], 'FX': ['This work was supported by the EC funded project V4Design (H2020-779962)'], 'PU': ['IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC'], 'PI': ['PISCATAWAY'], 'PA': ['445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA'], 'J9': ['IEEE SYST J'], 'JI': ['IEEE Syst. J.'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",1932-8184,JUN,2023,17,2,2570,2573,10.1109/JSYST.2022.3217655,WOS:000888956500001,"['Times Cited in Web of Science Core Collection:  2', 'Total Times Cited:  2', 'Cited Reference Count:  8']",WOS,,NOV 2022,
JOUR,"['García-Ortega, RH', 'García-Sánchez, P', 'Merelo-Guervós, JJ']","StarTroper, a film trope rating optimizer using machine learning and evolutionary algorithms",EXPERT SYSTEMS,English,"['computational narrative', 'content generation', 'genetic algorithms', 'machine learning', 'tropes', 'NETWORKS']","Designing a story is widely considered a crafty yet critical task that requires deep specific human knowledge in order to reach a minimum quality and originality. This includes designing at a high level different elements of the film; these high-level elements are called tropes when they become patterns. The present paper proposes and evaluates a methodology to automatically synthesize sets of tropes in a way that they maximize the potential rating of a film that conforms to them. We use machine learning to create a surrogate model that maps film ratings from tropes, trained with the data extracted and processed from huge film databases in Internet, and then we use a genetic algorithm that uses that surrogate model as evaluator to optimize the combination of tropes in a film. In order to evaluate the methodology, we analyse the nature of the tropes and their distributions in existing films, the performance of the models and the quality of the sets of tropes synthesized. The results of this proof of concept show that the methodology works and is able to build sets of tropes that maximize the rating and that these sets are genuine. The work has revealed that the methodology and tools developed are directly suitable for assisting in the plots generation as an authoring tool and, ultimately, for supporting the automatic generation of stories, for example, in massively populated videogames.","Badger Maps, Dev Dept, Granada, Spain",Universidad de Cadiz,"defaultdict(<class 'list'>, {'FU': ['Ministerio de Economia y Competitividad [TEC2015-68752, TIN2017-85727-C4-2-P]; Universidad de Cadiz'], 'FX': ['Ministerio de Economia y Competitividad, Grant/Award Numbers: TEC2015-68752, TIN2017-85727-C4-2-P; Universidad de Cadiz'], 'PU': ['WILEY'], 'PI': ['HOBOKEN'], 'PA': ['111 RIVER ST, HOBOKEN 07030-5774, NJ USA'], 'J9': ['EXPERT SYST'], 'JI': ['Expert Syst.'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",0266-4720,DEC,2020,37,6,,,10.1111/exsy.12525,WOS:000509070400001,"['Times Cited in Web of Science Core Collection:  5', 'Total Times Cited:  5', 'Cited Reference Count:  39']",WOS,e12525,JAN 2020,
JOUR,"['Tait, ER', 'Nelson, IL']",Nonscalability and generating digital outer space natures in <i>No Man's Sky</i>,ENVIRONMENT AND PLANNING E-NATURE AND SPACE,English,"['Digital game natures', 'feminist political ecology', 'outer space', 'scale', 'world building', 'CELLULAR INTERACTIONS', 'POPULAR GEOPOLITICS', 'MATHEMATICAL-MODELS', 'MEDIA', 'GEOGRAPHIES', 'FILAMENTS', 'WORLD', 'MARS']","This article examines the generation of digital outer space natures in the space exploration game, No Man's Sky. Using procedural generation, No Man's Sky offers nearly infinite planets, flora, and fauna on the fly. With the rapid development of gaming technology and tools, game developers and others are attempting to diversify the representation of various forms of nature in gaming content and to expand the use of games in behavioral change, education, conservation, and other fields. Many scholars argue that games offer promising ways for various publics to understand their place and their interconnectedness with microbes, ecosystems, planet Earth, and beyond. We examine how No Man's Sky struggled to coproduce digital outer space natures at the two scalar extremes of the vast expanse of outer space and of the embodied player relating within complex biomes. Our results from an in-depth, qualitative analysis of the initial version of the game, of player world-building experiences in No Man's Sky, and of subsequent developer modifications to the game demonstrate that nonscalability theory is useful for studying what digital outer space natures do in games. We also argue that nonscalability theory would benefit from a more robust engagement with the digital. No Man's Sky was initially scalable to such an extreme that it made players into objects without an origin story, broader purpose or way to build meaningful relations in the game. For a brief period, this game undermined players' interplanetary colonial imaginaries. Subsequent updates to the game introduced a limited scope of nonscalability, but only to the extent of satisfying gamers' desires to become more impactful agents of exploration. We see great potential for analyzing the role of innovations in computing and game design in linking multiscalar digital, outer, and earth spaces, which as other scholars have shown, bear significantly on our understanding of multiple worlds and natures.","Univ Vermont, Burlington, VT 05405 USA",University of Vermont,"defaultdict(<class 'list'>, {'FU': ['College of Arts and Sciences (CAS) Academic Programs for Learning and Engagement (APLE) award (University of Vermont)'], 'FX': ['The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Emma Tait received a College of Arts and Sciences (CAS) Academic Programs for Learning and Engagement (APLE) award (University of Vermont) to purchase copies of NMS for the research participants to play.'], 'PU': ['SAGE PUBLICATIONS INC'], 'PI': ['THOUSAND OAKS'], 'PA': ['2455 TELLER RD, THOUSAND OAKS, CA 91320 USA'], 'J9': ['ENVIRON PLAN E-NAT'], 'JI': ['Environ. Plan. E-Nat. Space'], 'WE': ['Social Science Citation Index (SSCI)']})",2514-8486,JUN,2022,5,2,694,718,10.1177/25148486211000746,WOS:000809620500010,"['Times Cited in Web of Science Core Collection:  10', 'Total Times Cited:  10', 'Cited Reference Count:  103']",WOS,,,
CPAPER,"['Fasolino, AR', 'Accetto, CM', 'Tramontana, P']",Testing Robot Challenge: A Serious Game for Testing Learning,"PROCEEDINGS OF THE 3RD ACM INTERNATIONAL WORKSHOP ON GAMIFICATION IN SOFTWARE DEVELOPMENT, VERIFICATION, AND VALIDATION, GAMIFY 2024",English,"['Software Testing Education', 'Automated Testing', 'Gamification of', 'Learning Activities', 'Serious Games', 'GAMIFICATION', 'FRAMEWORK']","Software testing education is becoming increasingly important both in academia and industry. Despite efforts to improve teaching approaches at the university level, many challenges persist for better preparing students for their future careers. In this position paper we present the Testing Robot Challenge tool implementing a serious game designed for motivating the students to practice testing and learn how to write effective unit tests in coverage testing. The game exploits the mechanism of the challenge that students can play against state-of-the-art tools for automated test case generation. It is configurable by teachers, in order to tune the complexity and type of challenges to the specific needs of the students and to the objectives of the course taught. To validate the tool, we performed a preliminary experiment involving 15 students of a Software Engineering course who provided generally positive feedback about it and useful comments for its future improvement.","Univ Naples Federico II, Naples, Italy",University of Naples Federico II,"defaultdict(<class 'list'>, {'ED': ['Coppola, R', 'Ardito, L', 'Fraser, G', 'Leotta, M'], 'CP': ['3rd International Workshop on Gamification in Software Development, Verification, and Validation (GAMIFY)'], 'FU': ['ENACTEST (European innovation alliance for testing education), ERASMUS+ Project [101055874]'], 'FX': ['This work has been partially funded by ENACTEST (European innovation alliance for testing education), ERASMUS+ Project number 101055874, 2022-2025. The first author thanks the Master students of the ""Software Architecture Design"" course at the University of Naples Federico II who contributed to the development of the Testing Robot Challenge Web application.'], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",979-8-4007-1113-8,,2024,,,26,29,10.1145/3678869.3685686,WOS:001323635100004,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  17']",WOS,,,
JOUR,"['Rayo, G', 'Tous, R']",Temporally Coherent Video Cartoonization for Animation Scenery Generation,ELECTRONICS,English,"['diffusion probabilistic models', 'deep learning', 'animation', 'generative models', 'video stylization', 'video cartoonization', 'video translation', 'computer graphics']","The automatic transformation of short background videos from real scenarios into other forms with a visually pleasing style, like those used in cartoons, holds application in various domains. These include animated films, video games, advertisements, and many other areas that involve visual content creation. A method or tool that can perform this task would inspire, facilitate, and streamline the work of artists and people who produce this type of content. This work proposes a method that integrates multiple components to translate short background videos into other forms that contain a particular style. We apply a fine-tuned latent diffusion model with an image-to-image setting, conditioned with the image edges (computed with holistically nested edge detection) and CLIP-generated prompts to translate the keyframes from a source video, ensuring content preservation. To maintain temporal coherence, the keyframes are translated into grids and the style is interpolated with an example-based style propagation algorithm. We quantitatively assess the content preservation and temporal coherence using CLIP-based metrics over a new dataset of 20 videos translated into three distinct styles.","Univ Politecn Cataluna, Dept Comp Architecture, Barcelona 08034, Spain",Universitat Politecnica de Catalunya,"defaultdict(<class 'list'>, {'FU': ['Spanish Ministry of Science and Innovation; SGR programme [2021-SGR-00478]; Catalan Government;  [PID2019-107255GB]'], 'FX': ['This work is partially supported by the Spanish Ministry of Science and Innovation under contract PID2019-107255GB, and by the SGR programme 2021-SGR-00478 of the Catalan Government.'], 'PU': ['MDPI'], 'PI': ['BASEL'], 'PA': ['ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND'], 'J9': ['ELECTRONICS-SWITZ'], 'JI': ['Electronics'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",2079-9292,SEP,2024,13,17,,,10.3390/electronics13173462,WOS:001311203000001,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  37']",WOS,3462,,
JOUR,"['Goslen, A', 'Kim, YJ', 'Rowe, J', 'Lester, J']",LLM-Based Student Plan Generation for Adaptive Scaffolding in Game-Based Learning Environments,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION,English,"['Goal setting and planning', 'Game-based learning environments', 'Language models', 'Self-regulated learning']","The development of large language models offers new possibilities for enhancing adaptive scaffolding of student learning in game-based learning environments. In this work, we present a novel framework for automatic plan generation that utilizes text-based representations of students' actions within a game-based learning environment, Crystal Island, to inform adaptive scaffolding of student goal setting and planning, which are critical elements of self-regulated learning. Plan generation is the task of automatically generating a set of low-level actions that contribute toward accomplishing a target goal given a sequence of student gameplay and their prior completed goals. We investigate the use of two pre-trained large language models, T5 and GPT-3.5, in the plan generation framework. The models utilize 144 middle school students gameplay data, encompassing a total of 11,610 event sequences, as input. The plans generated by the model are subsequently evaluated against plans crafted by students during gameplay utilizing an in-game planning support tool in Crystal Island. We compare automatically generated plans to students' manually generated in terms of the number of matching low-level actions, the number of actions that match when mapped to higher-level categories of actions, and the distribution of categories of actions within plans. Results indicate that automatically generated plans from both models largely align in terms of the high-level categories of actions that are included, but the generated plans feature fewer low-level actions than students' plans. Plans generated by T5 align more closely with student plans, whereas GPT-3.5, though not following student planning patterns, produces valid plans as well. These findings suggest that LLMs show significant promise for automatically generating plans that can be used to devise run-time adaptive scaffolding for student planning in game-based learning environments.","North Carolina State Univ, Comp Sci, Raleigh, NC 27606 USA",North Carolina State University,"defaultdict(<class 'list'>, {'FU': ['National Science Foundation [DUE-1761178, DRL-2112635]; National Science Foundation'], 'FX': ['This research was supported by funding from the National Science Foundation under grants DUE-1761178 and DRL-2112635. Any opinions, findings, and conclusions expressed in this material are those of the authors and do not necessarily reflect the views of the NSF.'], 'PU': ['SPRINGER'], 'PI': ['NEW YORK'], 'PA': ['ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES'], 'J9': ['INT J ARTIF INTELL E'], 'JI': ['Int. J. Artif. Intell. Educ.'], 'WE': ['Emerging Sources Citation Index (ESCI)']})",1560-4292,2024 JUL 17,2024,,,,,10.1007/s40593-024-00421-1,WOS:001270476700001,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  46']",WOS,,JUL 2024,
CPAPER,"['Moruzzi, C', 'Margarido, S']",A User-centered Framework for Human-AI Co-creativity,"EXTENDED ABSTRACTS OF THE 2024 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, CHI 2024",English,"['Co-creativity', 'Framework', 'Mixed-initiative', 'Game design', 'Customization tool']","The pervasive adoption and use of Generative AI tools have prompted a discourse on determining the optimal balance between automation and human agency in processes executed by users with the assistance of this technology. This paper presents a user-centered co-creativity framework that identifies key dimensions responsible for the modulation of agency and control between users and AI in co-creative processes. It also suggests an actionable way of implementing the framework in a customization tool, in the form of a mobile application, which can be used to tailor the interaction between users and the AI system following the dimensions proposed in the framework. The paper contributes new insights within the literature on Computational Creativity and Human-Computer Interaction interested in the investigation of modalities of co-creation between humans and AI.","Univ Edinburgh, Design Informat Sch Design, Edinburgh, Midlothian, Scotland",University of Edinburgh,"defaultdict(<class 'list'>, {'CP': ['CHI Conference on Human Factors in Computing Sytems (CHI)'], 'FU': ['UK EPSRC Next Stage Digital Economy Centre in the Decentralised Digital Economy (DECaDE) [EP/T022485/1]; RKEI Award 2023-2024 of the University of Edinburgh; FCT-Foundation for Science and Technology, I.P./MCTES through national funds (PIDDAC) [UIDB/00326/2020, UIDP/00326/2020]; Foundation for Science and Technology (FCT), Portugal [2021.07047.BD]'], 'FX': [""We are grateful to Monash University's SensiLab for the opportunity to participate in their workshop on co-creative AI in Prato in June 2023, which sparked the conversations that gave rise to this work. We also wish to thank the reviewers for their helpful comments on this paper. This work was supported by the UK EPSRC Next Stage Digital Economy Centre in the Decentralised Digital Economy (DECaDE) (EP/T022485/1), by the RKEI Award 2023-2024 of the University of Edinburgh, and by the FCT-Foundation for Science and Technology, I.P./MCTES through national funds (PIDDAC), within the scope of CISUC R&D Unit -UIDB/00326/2020 or project code UIDP/00326/2020. The second author is funded by Foundation for Science and Technology (FCT), Portugal, under the grant 2021.07047.BD.""], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",979-8-4007-0331-7,,2024,,,,,10.1145/3613905.3650929,WOS:001227587703031,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  60']",WOS,,,['ASSOC COMPUTING MACHINERY']
CPAPER,"['Nealey, I', 'Ferrier, N', 'Insley, JA', 'Mateevitsi, VA', 'Rizzi, S', 'Schulze, J']","Sort-Last In-Transit Data Visualization with SENSEI, Catalyst, and Unreal Engine",2022 IEEE 12TH SYMPOSIUM ON LARGE DATA ANALYSIS AND VISUALIZATION (LDAV 2022),English,,"We present a end-to-end in-transit workflow that uses SENSEI [1], Paraview Catalyst [2], and Unreal Engine [3] for interactive rendering of large scale distributed simulation data as it is generated. It is designed for high performance computing (HPC) environments where many machines collectively model a system's behavior and each rank updates a partition of the problem domain. We consider the case where full-resolution post-hoc analysis is prohibitive or impossible, and the 3D metadata extracted in-transit (such as isosurfaces or streamlines) is still prohibitively large and/or complex for rendering at interactive frame rates. Data is passed in-memory between each stage of the pipeline, with expensive disk I/O only occurring at the final stage, should a user wish to save their results. As video games have increased in complexity, developers have turned to procedural generation of 3D models and textures in order to algorithmically generate game content, like foliage or landscapes, without the need for manual modeling. We leverage these new tools in order to import the time-varying data simulated by domain scientists, and to manipulate these assets at runtime in order to update geometry as the simulation runs and more metadata is extracted.","Argonne Natl Lab, Argonne, IL 60439 USA",United States Department of Energy (DOE),"defaultdict(<class 'list'>, {'CP': ['12th IEEE Symposium on Large-Scale Data Analysis and Visualization (LDAV)'], 'FU': ['U.S. Department of Energy Office of Science User Facility [DE-AC02-06CH11357]; Office of Science, Office of Advanced Scientific Computing Research, of the U.S. Department of Energy [DE-AC02-06CH11357]'], 'FX': ['This work was supported by and used resources of the Argonne Leadership Computing Facility, which is a U.S. Department of Energy Office of Science User Facility supported under Contract DE-AC02-06CH11357. This work was supported in part by the Director, Office of Science, Office of Advanced Scientific Computing Research, of the U.S. Department of Energy under Contract DE-AC02-06CH11357, through the grant ""Scalable Analysis Methods and In Situ Infrastructure for Extreme Scale Knowledge Discovery"".'], 'PU': ['IEEE COMPUTER SOC'], 'PI': ['LOS ALAMITOS'], 'PA': ['10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA'], 'J9': ['SYMP LARG DATA ANAL'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",2373-7514,,2022,,,3,4,,WOS:000904305700002,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  6']",WOS,,,['IEEE Comp Soc']
CPAPER,"['Aburto-Gutierrez, ME', 'Azuaje, G', 'Mishra, V', 'Osmani, S', 'Ikeda, K']",JaSenpai: Towards an Adaptive and Social Interactive E-Learning Platform for Japanese Language Learning,2022 INTERNATIONAL CONFERENCE ON ADVANCED LEARNING TECHNOLOGIES (ICALT 2022),English,"['japanese language learning', 'interactive e-platform', 'personalized language learning', 'recommender system']","The Japanese language is an essential skill for many foreigners who plan to study or work in Japan, but it is very hard and time-consuming to learn. Given the current COVID-19 pandemic, the use of online and computer-assisted tools for Japanese language learning is indispensable. However, many of the currently available tools do not offer personalized content based on the user's performance and lack social interaction, which can lower the engagement level of the users. In this paper, we propose JaSenpai, a Japanese language E-learning platform that features an automatic generation of vocabulary exercises, a recommendation system based on previous answers, and a multiplayer game for social interaction. We believe these elements can provide a more engaging and effective learning experience.","Nara Inst Sci & Technol, Grad Sch Sci & Technol, Ikoma, Japan",Nara Institute of Science & Technology,"defaultdict(<class 'list'>, {'ED': ['Chang, M', 'Chen, NS', 'Dascalu, M', 'Sampson, DG', 'Tlili, A', 'Trausan-Matu, S'], 'CP': ['22nd IEEE International Conference on Advanced Learning Technologies (ICALT)'], 'PU': ['IEEE'], 'PI': ['NEW YORK'], 'PA': ['345 E 47TH ST, NEW YORK, NY 10017 USA'], 'J9': ['IEEE INT CONF ADV LE'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)', 'Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)']})",2161-3761,,2022,,,236,238,10.1109/ICALT55010.2022.00077,WOS:000885102700071,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  9']",WOS,,,
CPAPER,"['Ferdous, R', 'Kifetew, F', 'Prandi, D', 'Prasetya, ISWB', 'Shirzadehhajimahmood, S', 'Susi, A']",Search-Based Automated Play Testing of Computer Games: A Model-Based Approach,SEARCH-BASED SOFTWARE ENGINEERING (SSBSE 2021),English,"['Game play testing', 'Search-based testing', 'Model-based testing']","Computer game technology is increasingly more complex and applied in a wide variety of domains, beyond entertainment, such as training and educational scenarios. Testing games is a difficult task requiring a lot of manual effort since the interaction space in the game is very fine grained and requires a certain level of intelligence that cannot be easily automated. This makes testing a costly activity in the overall development of games. This paper presents a model-based formulation of game play testing in such a way that search-based testing can be applied for test generation. An abstraction of the desired game behaviour is captured in an extended finite state machine (EFSM) and search-based algorithms are used to derive abstract tests from the model, which are then concretised into action sequences that are executed on the game under test. The approach is implemented in a prototype tool EvoMBT. We carried out experiments on a 3D game to assess the suitability of the approach in general, and search-based test generation in particular. We applied 5 search algorithms for test generation on three different models of the game. Results show that search algorithms are able to achieve reasonable coverage on models: between 75% and 100% for the small and medium sized models, and between 29% and 56% for the bigger model. Mutation analysis shows that on the actual game application tests kill up to 99% of mutants. Tests have also revealed previously unknown faults.","Fdn Bruno Kessler, Trento, Italy",Fondazione Bruno Kessler,"defaultdict(<class 'list'>, {'ED': ['OReilly, UM', 'Devroey, X'], 'CP': ['13th Symposium on Search-Based Software Engineering (SSBSE)'], 'FU': ['EU [856716]; H2020 - Industrial Leadership [856716] Funding Source: H2020 - Industrial Leadership'], 'FX': ['This work is a result of iv4XR project, funded by the EU Horizon 2020 research and innovation programme under grant agreement No. 856716.'], 'PU': ['SPRINGER INTERNATIONAL PUBLISHING AG'], 'PI': ['CHAM'], 'PA': ['GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND'], 'J9': ['LECT NOTES COMPUT SC'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",0302-9743,,2021,12914,,56,71,10.1007/978-3-030-88106-1_5,WOS:000866469000006,"['Times Cited in Web of Science Core Collection:  10', 'Total Times Cited:  10', 'Cited Reference Count:  13']",WOS,,,
